@relation cpu

@attribute CPU8ALL numeric
@attribute CPU9ALL numeric
@attribute CPU10ALL numeric
@attribute CPU8USE numeric
@attribute CPU9USE numeric
@attribute CPU10USE numeric
@attribute MEM8ALL numeric
@attribute MEM9ALL numeric
@attribute MEM10ALL numeric
@attribute MEM8USE numeric
@attribute MEM9USE numeric
@attribute MEM10USE numeric
@attribute STOR8ALL numeric
@attribute STOR9ALL numeric
@attribute STOR10ALL numeric
@attribute STOR8USE numeric
@attribute STOR9USE numeric
@attribute STOR10USE numeric
@attribute SLACpu numeric
@attribute SLAMemory numeric
@attribute SLAStorage numeric
@attribute EVAL numeric

@data
0,0,20,0,0,0,0,0,30,0,0,0,0,0,20,0,0,0,20,20,10,-5.709804
20,20,90,10,20,20,30,30,50,20,20,30,20,20,50,0,10,0,50,20,30,0.294118
0,0,60,0,0,0,0,0,30,0,0,0,0,0,30,0,0,0,50,20,30,-5.509804
40,40,90,20,20,20,30,30,60,10,10,10,20,20,80,10,10,10,30,20,50,0.501961
40,40,70,30,40,40,20,20,50,30,30,40,20,20,40,20,20,20,20,20,10,-20.498039
40,40,70,40,40,50,20,20,50,40,30,40,20,20,40,20,20,20,20,20,10,-20.482353
40,40,90,50,40,50,20,20,90,40,30,40,20,20,60,20,20,20,20,20,10,-20.482353
0,0,20,20,20,20,0,0,30,20,20,20,0,0,20,10,10,10,20,20,10,-20.941176
0,0,50,20,20,20,0,0,60,20,20,20,0,0,40,10,10,10,20,20,10,-20.941176
0,0,80,20,20,20,0,0,90,20,20,20,0,0,60,10,10,10,20,20,10,-20.941176
60,60,80,40,40,40,40,40,80,40,30,40,30,30,50,20,20,20,20,20,10,-20.772549
40,40,70,40,40,50,20,20,50,40,40,40,20,20,40,20,20,20,20,20,10,-20.482353
40,40,70,50,60,50,20,20,50,40,40,40,20,20,40,20,20,30,20,20,10,-20.498039
40,40,90,50,50,40,20,20,90,40,40,30,20,20,60,30,20,20,20,20,10,-20.498039
