@relation MoveVm

@attribute CPU8 numeric
@attribute CPU9 numeric
@attribute CPU10 numeric
@attribute MEM8 numeric
@attribute MEM9 numeric
@attribute MEM10 numeric
@attribute STOR8 numeric
@attribute STOR9 numeric
@attribute STOR10 numeric
@attribute PMCPU8 numeric
@attribute PMCPU9 numeric
@attribute PMCPU10 numeric
@attribute PMMEM8 numeric
@attribute PMMEM9 numeric
@attribute PMMEM10 numeric
@attribute PMSTOR8 numeric
@attribute PMSTOR9 numeric
@attribute PMSTOR10 numeric
@attribute EVAL numeric

@data
30,30,30,30,30,30,20,20,20,30,80,80,30,60,60,20,30,30,0.182353
30,30,30,30,30,20,20,20,20,30,30,30,40,40,40,50,50,50,0.158824
30,30,30,30,30,20,20,20,20,50,50,50,60,60,60,30,30,30,0.207843
20,20,20,30,30,30,10,10,10,20,80,90,30,70,70,10,70,70,0.172549
20,20,20,30,30,30,20,20,20,80,80,80,60,60,60,90,90,90,0.292157
20,20,20,30,30,30,20,20,20,50,50,50,60,60,60,40,40,40,0.260784
20,20,20,30,30,30,20,20,20,80,80,80,60,60,60,90,90,90,0.292157
20,20,20,30,30,30,20,20,20,50,50,50,60,60,60,40,40,40,0.260784
60,60,30,40,40,30,50,50,30,20,20,20,20,20,20,40,40,40,0.190196
60,60,30,40,40,30,50,50,30,90,90,60,70,70,60,70,70,40,0.24902
60,60,30,40,40,30,50,50,30,20,20,20,20,20,20,40,40,40,0.190196
60,60,30,40,40,30,50,50,30,90,90,60,70,70,60,70,70,40,0.24902
20,20,20,30,30,30,10,10,10,20,20,20,20,20,20,40,40,40,0.162745
20,20,20,30,30,30,10,10,10,90,90,80,80,80,80,70,70,70,0.352941
20,20,20,20,20,20,20,20,20,90,80,80,80,80,80,70,70,70,0.372549
20,20,20,20,20,20,40,40,40,70,70,70,80,80,80,90,90,90,0.34902
30,30,30,30,30,20,30,30,30,80,80,80,50,50,50,80,80,80,0.247059
20,20,20,20,20,20,20,20,20,90,90,90,70,70,70,80,80,80,0.35098
30,30,30,30,30,30,30,30,30,20,20,20,30,30,30,10,10,10,0.170588
30,30,30,30,30,30,30,30,30,80,80,80,60,60,60,70,70,70,0.272549
30,30,30,30,30,20,30,30,30,60,60,60,60,60,60,40,40,50,0.262745
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,70,70,70,0.245098
10,10,10,10,10,10,0,0,0,40,40,40,30,30,30,40,40,40,0.098039
30,30,30,30,30,20,20,20,20,60,60,60,60,60,60,50,50,50,0.22549
30,30,30,30,30,20,20,20,20,70,70,70,90,90,80,90,90,90,0.339216
30,30,30,30,30,20,20,20,20,60,60,60,60,60,60,50,50,50,0.22549
30,30,30,30,30,20,20,20,20,70,70,70,90,90,80,90,90,90,0.339216
30,30,30,30,30,20,20,20,20,60,60,60,60,60,60,50,50,50,0.22549
30,30,30,30,30,20,20,20,20,70,70,70,90,90,80,90,90,90,0.339216
20,20,20,30,30,30,20,20,20,80,80,80,90,90,90,70,70,70,0.162745
20,20,20,30,30,30,10,10,10,70,70,70,60,60,60,60,60,60,0.098039
30,30,30,20,20,30,30,30,30,80,80,80,60,60,60,70,70,70,0.278431
30,30,30,20,20,30,20,20,20,50,50,50,50,50,60,30,30,30,0.22549
20,20,20,30,30,20,10,10,10,70,70,70,80,80,80,80,80,80,0.321569
30,30,30,20,20,20,30,30,30,30,30,30,30,30,30,20,20,20,0.166667
30,30,30,20,20,20,30,30,30,80,80,80,60,60,60,70,70,70,0.280392
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,30,30,30,0.086275
20,20,20,20,20,20,10,10,10,70,70,70,70,70,70,40,40,40,0.07451
30,30,30,20,20,20,20,20,30,30,30,30,20,20,20,20,20,30,0.180392
10,10,10,10,10,10,0,0,0,10,10,10,10,10,10,0,0,0,0.011765
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.15098
10,10,10,10,10,10,0,0,0,10,10,10,10,10,10,0,0,0,0.011765
30,30,30,20,20,20,30,30,30,90,90,90,90,90,90,70,70,70,0.341176
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,30,30,30,0.088235
30,30,30,30,30,30,20,20,20,10,10,10,10,10,10,0,0,0,0.088235
30,30,30,30,30,30,20,20,20,90,90,90,90,90,90,60,60,60,0.313725
30,30,30,20,20,20,30,30,30,70,70,70,60,60,60,50,50,50,0.254902
20,20,20,30,30,30,10,10,10,70,70,70,60,60,60,50,60,60,0.237255
20,20,20,30,30,30,10,10,10,90,90,90,90,90,90,60,60,60,0.3
20,20,20,30,30,30,10,10,10,80,80,80,80,80,80,60,60,60,0.221569
20,20,20,30,30,30,10,10,10,90,90,90,90,90,90,60,60,60,0.172549
20,20,20,30,30,30,10,10,10,80,80,80,80,80,80,60,60,60,0.092157
10,10,10,10,10,10,0,0,0,70,70,70,50,50,50,50,50,50,0.166667
10,10,10,10,10,10,0,0,0,60,60,60,50,50,50,50,50,50,0.096078
20,20,20,40,40,20,10,10,10,90,90,90,100,100,80,60,60,60,0.296078
20,20,20,20,20,30,20,20,20,80,70,70,80,80,80,70,70,70,0.272549
40,40,30,30,30,20,30,30,30,60,60,60,60,50,50,40,40,40,0.25098
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.162745
20,20,20,20,20,30,10,10,10,90,90,90,90,90,90,80,80,80,0.327451
20,20,20,20,20,30,10,10,10,40,40,40,40,40,40,30,30,30,0.152941
20,20,20,20,20,30,10,10,10,90,90,90,90,90,90,80,80,80,0.327451
20,20,20,20,20,30,10,10,10,40,40,40,40,40,40,30,30,30,0.152941
20,20,20,20,20,30,10,10,10,90,90,90,90,90,90,80,80,80,0.327451
20,20,20,20,20,20,10,10,10,70,70,70,70,70,70,40,40,40,0.078431
30,30,30,30,30,30,20,20,20,70,70,70,50,50,50,40,40,40,0.17451
30,30,30,30,30,30,20,20,20,40,40,40,40,40,40,30,30,30,0.145098
20,20,20,20,20,20,10,10,10,40,40,40,20,20,20,30,30,30,0.111765
20,20,20,20,20,20,10,10,10,70,70,70,70,70,70,40,40,40,0.07451
30,30,30,30,30,20,20,20,20,40,40,40,20,20,20,30,30,30,0.168627
30,30,30,30,30,20,20,20,20,60,60,60,60,60,50,30,30,40,0.137255
20,20,20,30,30,30,10,10,10,80,80,80,80,80,80,50,50,50,0.217647
20,20,20,30,30,30,10,10,10,40,40,40,30,30,30,40,40,40,0.164706
20,20,20,30,30,30,10,10,10,80,80,80,80,80,80,50,50,50,0.217647
20,20,20,20,20,30,20,20,20,60,60,60,50,50,50,50,50,50,0.272549
40,40,40,20,20,30,30,30,30,80,80,80,60,60,60,70,70,70,0.247059
10,10,10,10,10,10,0,0,0,20,20,20,30,30,30,20,20,20,0.098039
10,10,10,10,10,10,0,0,0,80,80,80,60,60,60,70,70,70,0.176471
30,30,30,20,20,20,30,30,30,50,50,50,50,50,50,50,50,50,0.254902
20,20,20,30,30,20,10,10,10,50,50,50,40,40,40,40,40,40,0.180392
20,20,20,30,30,20,10,10,10,90,90,90,90,90,80,50,50,50,0.215686
40,40,40,30,30,30,30,30,30,60,60,60,60,60,60,60,60,60,0.272549
40,40,40,30,30,30,30,30,30,90,90,90,90,90,90,60,60,60,0.278431
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,60,60,60,0.178431
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,70,70,70,0.184314
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.245098
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,70,70,70,0.184314
40,40,30,30,30,30,30,30,30,90,90,90,80,80,90,60,60,60,0.343137
20,20,20,30,30,30,20,20,20,100,100,90,90,90,90,90,90,90,0.370588
30,30,30,20,20,20,30,30,30,80,80,70,60,60,60,60,60,60,0.266667
20,20,20,30,30,30,20,20,20,70,70,70,80,80,80,50,50,50,0.272549
20,20,20,20,20,20,10,10,10,70,70,70,80,80,80,50,50,50,0.243137
20,20,20,20,20,20,10,10,10,60,60,60,60,60,60,50,50,50,0.237255
20,20,20,20,20,20,10,10,10,70,70,70,80,80,80,50,50,50,0.243137
20,20,20,20,20,20,10,10,10,60,60,60,60,60,60,50,50,50,0.237255
20,20,20,20,20,20,10,10,10,70,70,70,80,80,80,50,50,50,0.243137
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.182353
10,10,10,10,10,10,0,0,0,80,80,80,70,70,70,60,60,60,0.158824
10,10,10,10,10,10,0,0,0,60,60,60,70,70,70,50,50,50,0.17451
10,10,10,10,10,10,0,0,0,80,80,80,70,70,70,60,60,60,0.158824
10,10,10,10,10,10,0,0,0,60,60,60,70,70,70,50,50,50,0.17451
10,10,10,10,10,10,0,0,0,80,80,80,70,70,70,60,60,60,0.164706
30,30,30,20,20,20,30,30,30,70,70,70,60,60,60,50,50,50,0.268627
20,20,20,30,30,30,20,20,20,60,60,60,70,70,70,60,60,60,0.256863
20,20,20,30,30,30,20,20,20,90,90,90,90,90,90,80,80,80,0.323529
20,20,20,30,30,30,10,10,10,70,70,70,70,70,70,40,40,40,0.221569
30,30,30,20,20,20,20,20,20,90,90,90,90,90,90,90,90,90,0.335294
30,30,30,20,20,30,20,20,20,80,80,80,70,70,70,60,60,60,0.260784
10,10,10,10,10,10,0,0,0,50,50,50,60,60,60,30,30,30,0.086275
30,30,30,20,20,20,30,30,30,50,50,50,60,60,60,30,30,30,0.164706
30,30,30,20,20,20,30,30,30,80,80,80,80,80,80,80,80,70,0.32549
10,10,10,10,10,10,0,0,0,80,80,80,70,70,70,70,70,70,0.264706
10,10,10,10,10,10,0,0,0,50,50,50,60,60,60,30,30,30,0.086275
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,80,80,80,0.266667
30,30,30,20,20,20,20,20,20,70,70,70,70,70,70,40,40,40,0.219608
30,30,30,20,20,20,20,20,20,60,60,60,60,60,60,60,60,60,0.25098
30,30,30,20,20,20,20,20,20,70,70,70,70,70,70,40,40,40,0.219608
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.15098
