GlobalTick;ProblemType;ResourceType;PmId;VmId;AppId;CPUAll;MEMAll;STORAll;CPUUse;MEMUse;STORUse
67;newApp;APP;;;1;;;;0;0;0
110;wasteOfResources;VM;1;1;;47;41;56;36;23;23;
160;wasteOfResources;VM;1;1;;47;35;30;32;22;21;
161;wasteOfResources;VM;1;1;;47;35;30;26;24;19;
211;wasteOfResources;VM;1;1;;47;35;29;30;24;20;
261;wasteOfResources;VM;1;1;;47;35;29;38;23;20;
311;wasteOfResources;VM;1;1;;47;35;29;29;22;23;
361;wasteOfResources;VM;1;1;;47;35;30;34;22;15;
362;wasteOfResources;VM;1;1;;47;35;30;32;22;16;
363;wasteOfResources;VM;1;1;;47;35;30;31;19;22;
413;wasteOfResources;VM;1;1;;47;33;29;30;19;18;
463;wasteOfResources;VM;1;1;;47;33;29;30;22;18;
464;wasteOfResources;VM;1;1;;47;33;29;36;25;19;
465;wasteOfResources;VM;1;1;;47;33;29;32;20;20;
466;wasteOfResources;VM;1;1;;47;33;29;35;17;21;
516;wasteOfResources;VM;1;1;;46;36;28;35;23;21;
517;wasteOfResources;VM;1;1;;46;36;28;25;19;18;
555;newApp;APP;;;2;;;;0;0;0
567;wasteOfResources;VM;1;1;;47;36;30;31;22;16;
568;wasteOfResources;VM;1;1;;47;36;30;34;18;18;
618;wasteOfResources;VM;1;1;;47;34;27;38;23;21;
619;wasteOfResources;VM;1;1;;47;34;27;35;22;21;
620;wasteOfResources;VM;1;1;;47;34;27;28;23;23;
670;wasteOfResources;VM;1;1;;47;35;30;26;24;19;
671;wasteOfResources;VM;1;1;;47;35;30;31;26;21;
721;wasteOfResources;VM;1;1;;47;36;29;29;22;18;
771;wasteOfResources;VM;1;1;;47;35;31;35;21;21;
772;wasteOfResources;VM;1;1;;47;35;31;38;24;19;
796;newApp;APP;;;3;;;;0;0;0
822;wasteOfResources;VM;1;1;;47;34;28;33;27;18;
823;wasteOfResources;VM;1;1;;47;34;28;37;18;20;
824;wasteOfResources;VM;1;1;;47;34;28;31;21;18;
825;wasteOfResources;VM;1;1;;47;34;28;37;21;21;
826;wasteOfResources;VM;1;1;;47;34;28;43;21;20;
829;newApp;APP;;;4;;;;0;0;0
876;wasteOfResources;VM;1;1;;47;37;29;34;23;21;
926;wasteOfResources;VM;1;1;;47;33;29;26;21;17;
927;wasteOfResources;VM;1;1;;47;33;29;35;23;18;
928;wasteOfResources;VM;1;1;;47;33;29;30;24;18;
929;wasteOfResources;VM;1;1;;47;33;29;32;20;20;
930;wasteOfResources;VM;1;1;;47;33;29;29;19;24;
980;wasteOfResources;VM;1;1;;45;34;31;34;21;20;
981;wasteOfResources;VM;1;1;;45;34;31;30;22;17;
1031;wasteOfResources;VM;1;1;;46;34;30;38;22;18;
1032;wasteOfResources;VM;1;1;;46;34;30;38;23;22;
1033;wasteOfResources;VM;1;1;;46;34;30;31;19;20;
1083;wasteOfResources;VM;1;1;;47;37;30;39;21;17;
1087;newApp;APP;;;5;;;;0;0;0
1104;newApp;APP;;;6;;;;0;0;0
1133;wasteOfResources;VM;1;1;;47;34;30;40;23;21;
1134;wasteOfResources;VM;1;1;;47;34;30;29;23;20;
1184;wasteOfResources;VM;1;1;;47;35;30;28;21;19;
1234;wasteOfResources;VM;1;1;;46;34;29;40;20;21;
1281;newApp;APP;;;7;;;;0;0;0
1282;newApp;APP;;;8;;;;0;0;0
1284;wasteOfResources;VM;1;1;;47;36;31;32;18;19;
1285;wasteOfResources;VM;1;1;;47;36;31;35;21;18;
1286;wasteOfResources;VM;1;1;;47;36;31;33;20;21;
1294;newApp;APP;;;9;;;;0;0;0
1295;newApp;APP;;;10;;;;0;0;0
1325;wasteOfResources;VM;2;2;;59;47;35;36;18;15;
1326;wasteOfResources;VM;2;2;;59;47;35;35;17;15;
1327;wasteOfResources;VM;2;2;;59;47;35;33;20;14;
1336;wasteOfResources;VM;1;1;;45;35;30;29;23;19;
1377;wasteOfResources;VM;2;2;;48;37;29;31;23;21;
1378;wasteOfResources;VM;1;2;;48;37;29;31;23;21;
1386;wasteOfResources;VM;1;1;;46;33;28;33;19;21;
1402;wasteOfResources;PM;2;;;0;0;0;0;0;0;
1403;wasteOfResources;PM;2;;;0;0;0;0;0;0;
1404;wasteOfResources;PM;2;;;0;0;0;0;0;0;
1405;wasteOfResources;PM;2;;;0;0;0;0;0;0;
1406;wasteOfResources;PM;2;;;0;0;0;0;0;0;
1407;wasteOfResources;PM;2;;;0;0;0;0;0;0;
1408;wasteOfResources;PM;2;;;0;0;0;0;0;0;
1431;wasteOfResources;VM;1;2;;51;37;28;30;20;14;
1432;wasteOfResources;VM;1;2;;51;37;28;33;24;20;
1436;wasteOfResources;VM;1;1;;46;34;31;37;22;20;
1437;wasteOfResources;VM;1;1;;46;34;31;30;20;18;
