GlobalTick;PmId;VmId;AppId;Action;Preconditions;Estimation;Prediction;DestinationPmId;DestinationVmId;Evaluation
67;1;1;1;CreateVmInsertApp;true;20;1670;1;;0.0
67;1;1;1;CreateVmInsertApp;true;20;1670;1;;-5.682352941176471
110;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
160;1;1;;DoNothing;true;0;0;;;0.0
161;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
211;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
261;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
311;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
361;1;1;;DoNothing;true;0;0;;;0.0
362;1;1;;DoNothing;true;0;0;;;0.0
363;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
413;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
463;1;1;;DoNothing;true;0;0;;;0.0
464;1;1;;DoNothing;true;0;0;;;0.0
465;1;1;;DoNothing;true;0;0;;;0.0
466;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
516;1;1;;DoNothing;true;0;0;;;0.0
517;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
555;;;2;Outsource;true;50;0;;;0.0
567;1;1;;DoNothing;true;0;0;;;0.0
568;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
618;1;1;;DoNothing;true;0;0;;;0.0
619;1;1;;DoNothing;true;0;0;;;0.0
620;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
670;1;1;;DoNothing;true;0;0;;;0.0
671;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
721;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
771;1;1;;DoNothing;true;0;0;;;0.0
772;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
796;;;3;Outsource;true;50;0;;;0.0
822;1;1;;DoNothing;true;0;0;;;0.0
823;1;1;;DoNothing;true;0;0;;;0.0
824;1;1;;DoNothing;true;0;0;;;0.0
825;1;1;;DoNothing;true;0;0;;;0.0
826;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
829;;;4;Outsource;true;50;0;;;0.0
876;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
926;1;1;;DoNothing;true;0;0;;;0.0
927;1;1;;DoNothing;true;0;0;;;0.0
928;1;1;;DoNothing;true;0;0;;;0.0
929;1;1;;DoNothing;true;0;0;;;0.0
930;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
980;1;1;;DoNothing;true;0;0;;;0.0
981;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
1031;1;1;;DoNothing;true;0;0;;;0.0
1032;1;1;;DoNothing;true;0;0;;;0.0
1033;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
1083;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
1087;;;5;Outsource;true;50;0;;;0.0
1104;;;6;Outsource;true;50;0;;;0.0
1133;1;1;;DoNothing;true;0;0;;;0.0
1134;1;1;;ChangeVmConfiguration;true;1;0;;;0.0
