GlobalTick;PmId;VmId;AppId;Action;Preconditions;Estimation;Prediction;DestinationPmId;DestinationVmId
14;;;1;CreateVmInsertApp;true;20;66;1;;5
14;;;1;CreateAppInsertIntoVm;false;3;41;;;1
14;;;1;MoveApp;false;5;51;;;1
14;;;1;MoveVm;false;0;19;;;0
14;;;1;DoNothing;true;0;0;;;1
14;;;1;Outsource;true;50;0;;;0
14;;;1;TurnOffPmAndMoveVms;false;0;6;;;0
21;;;2;CreateVmInsertApp;true;20;13;2;;1
21;;;2;CreateAppInsertIntoVm;false;3;98;;;0
21;;;2;MoveApp;false;5;90;;;0
21;;;2;MoveVm;false;0;34;;;0
21;;;2;DoNothing;true;0;0;;;0
21;;;2;Outsource;true;50;0;;;0
21;;;2;TurnOffPmAndMoveVms;false;0;25;;;0
22;;;3;CreateVmInsertApp;true;20;32;2;;0
22;;;3;CreateAppInsertIntoVm;false;3;43;;;0
22;;;3;MoveApp;false;5;82;;;0
22;;;3;MoveVm;false;0;92;;;0
22;;;3;DoNothing;true;0;0;;;0
22;;;3;Outsource;true;50;0;;;0
22;;;3;TurnOffPmAndMoveVms;false;0;41;;;0
108;;;4;CreateVmInsertApp;true;20;39;2;;0
108;;;4;CreateAppInsertIntoVm;true;3;70;;1;0
108;;;4;MoveApp;false;5;65;;;0
108;;;4;MoveVm;false;0;76;;;0
108;;;4;DoNothing;true;0;0;;;0
108;;;4;Outsource;true;50;0;;;0
108;;;4;TurnOffPmAndMoveVms;false;0;4;;;0
252;;;5;CreateVmInsertApp;true;20;0;2;;0
252;;;5;CreateAppInsertIntoVm;true;3;39;;1;1
252;;;5;MoveApp;false;5;47;;;0
252;;;5;MoveVm;false;0;95;;;0
252;;;5;DoNothing;true;0;0;;;0
252;;;5;Outsource;true;50;0;;;0
252;;;5;TurnOffPmAndMoveVms;false;0;45;;;0
258;;;6;CreateVmInsertApp;true;20;47;3;;0
258;;;6;CreateAppInsertIntoVm;true;3;18;;1;0
258;;;6;MoveApp;false;5;28;;;0
258;;;6;MoveVm;false;0;6;;;0
258;;;6;DoNothing;true;0;0;;;0
258;;;6;Outsource;true;50;0;;;0
258;;;6;TurnOffPmAndMoveVms;false;0;53;;;0
355;;;7;CreateVmInsertApp;true;20;50;3;;0
355;;;7;CreateAppInsertIntoVm;true;3;70;;2;0
355;;;7;MoveApp;false;5;1;;;0
355;;;7;MoveVm;false;0;66;;;0
355;;;7;DoNothing;true;0;0;;;0
355;;;7;Outsource;true;50;0;;;0
355;;;7;TurnOffPmAndMoveVms;false;0;25;;;0
374;;;8;CreateVmInsertApp;true;20;45;3;;0
374;;;8;CreateAppInsertIntoVm;true;3;92;;2;0
374;;;8;MoveApp;false;5;5;;;0
374;;;8;MoveVm;false;0;99;;;0
374;;;8;DoNothing;true;0;0;;;0
374;;;8;Outsource;true;50;0;;;0
374;;;8;TurnOffPmAndMoveVms;false;0;83;;;0
375;;;9;CreateVmInsertApp;true;20;94;3;;0
375;;;9;CreateAppInsertIntoVm;true;3;47;;2;0
375;;;9;MoveApp;false;5;53;;;0
375;;;9;MoveVm;false;0;28;;;0
375;;;9;DoNothing;true;0;0;;;0
375;;;9;Outsource;true;50;0;;;0
375;;;9;TurnOffPmAndMoveVms;false;0;3;;;0
376;;;10;CreateVmInsertApp;true;20;24;3;;0
