@relation cpu

@attribute CPU8ALL numeric
@attribute CPU9ALL numeric
@attribute CPU10ALL numeric
@attribute CPU8USE numeric
@attribute CPU9USE numeric
@attribute CPU10USE numeric
@attribute MEM8ALL numeric
@attribute MEM9ALL numeric
@attribute MEM10ALL numeric
@attribute MEM8USE numeric
@attribute MEM9USE numeric
@attribute MEM10USE numeric
@attribute STOR8ALL numeric
@attribute STOR9ALL numeric
@attribute STOR10ALL numeric
@attribute STOR8USE numeric
@attribute STOR9USE numeric
@attribute STOR10USE numeric
@attribute SLACpu numeric
@attribute SLAMemory numeric
@attribute SLAStorage numeric
@attribute EVAL numeric

@data
0,0,30,0,0,0,0,0,40,0,0,0,0,0,50,0,0,0,20,40,50,-5.760784
20,20,60,0,10,10,20,20,70,10,10,10,40,40,80,20,20,0,30,30,40,0.372549
50,50,80,20,20,20,50,50,80,20,20,20,60,60,80,40,30,30,20,20,20,0.537255
0,0,50,0,0,0,0,0,30,0,0,0,0,0,10,0,0,0,50,30,10,-5.670588
50,50,70,20,30,20,50,50,90,20,20,20,60,60,90,40,30,50,10,30,20,0.603922
0,0,30,10,10,10,0,0,40,10,10,10,0,0,50,30,0,40,20,40,50,-12.776471
0,0,60,0,0,0,0,0,40,0,0,0,0,0,50,0,0,0,50,30,50,-5.643137
0,0,50,0,0,0,0,0,20,0,0,0,0,0,50,0,0,0,40,10,50,-5.780392
50,50,70,40,30,40,50,50,90,30,30,30,60,60,90,40,60,50,10,30,20,-2.435294
30,30,90,20,20,20,20,20,60,20,20,20,30,30,50,30,20,30,50,30,10,-14.631373
40,40,100,20,20,30,50,50,90,20,20,20,60,60,80,30,30,30,50,30,10,-19.760784
0,0,50,10,0,10,0,0,30,10,10,10,0,0,10,10,10,10,50,30,10,-19.941176
40,40,100,20,20,20,40,40,80,20,20,20,20,20,40,20,20,20,50,30,10,-19.690196
40,40,100,20,20,20,50,50,90,20,20,20,60,60,80,30,30,30,50,30,10,-19.760784
0,0,50,10,0,10,0,0,30,10,10,10,0,0,10,10,10,10,50,30,10,-19.760784
40,40,100,20,20,20,40,40,80,20,20,20,20,20,40,20,20,20,50,30,10,-19.690196
20,20,70,10,10,20,20,20,60,20,10,20,20,20,40,30,30,30,50,30,10,-22.635294
60,60,90,10,10,10,50,50,90,10,10,10,50,50,60,20,20,20,20,30,10,-0.776471
50,50,90,10,10,10,40,40,90,0,10,10,40,40,60,10,10,10,30,40,20,0.368627
30,30,50,10,20,10,40,40,80,10,10,10,30,30,60,20,10,10,10,30,30,0.368627
50,50,90,10,10,10,50,50,70,10,10,10,50,50,80,10,20,20,30,10,30,0.419608
0,0,60,10,10,10,0,0,40,10,10,10,0,0,50,10,10,20,50,30,50,-37.756863
40,40,70,10,10,10,40,40,80,10,10,0,20,20,70,10,10,0,20,30,40,0.494118
0,0,40,0,0,0,0,0,30,0,0,0,0,0,60,0,0,0,40,30,50,-5.619608
60,60,80,10,10,10,50,50,80,10,0,10,50,50,60,20,20,10,20,20,10,-4.776471
0,0,50,0,0,0,0,0,40,0,0,0,0,0,60,0,0,0,50,40,60,-5.572549
0,0,10,0,0,0,0,0,50,0,0,0,0,0,10,0,0,0,10,50,10,-5.611765
0,0,50,20,20,20,0,0,40,10,10,10,0,0,60,20,20,30,50,40,60,-15.568627
30,30,70,0,0,0,30,30,80,0,0,0,10,10,60,0,0,0,30,50,40,0.243137
50,50,70,20,30,30,40,40,100,20,20,10,40,40,50,30,40,30,10,50,10,-7.592157
60,60,80,20,20,30,50,50,80,20,20,10,50,50,60,40,40,40,20,20,10,-7.784314
40,40,70,10,10,10,40,40,70,10,10,10,20,20,40,10,20,10,20,20,10,-9.941176
60,60,90,30,30,20,50,50,90,20,20,20,40,40,60,30,40,30,20,20,10,-9.592157
50,50,70,20,30,30,40,40,70,20,20,20,30,30,50,30,30,30,20,20,10,-11.756863
30,30,50,20,30,30,30,30,60,20,20,20,20,20,40,20,30,30,20,20,10,-11.631373
0,0,40,10,10,10,0,0,50,0,10,10,0,0,50,20,10,30,30,50,40,-14.588235
60,60,80,20,20,20,50,50,90,20,20,20,40,40,60,30,30,30,20,20,10,-13.815686
0,0,60,20,20,20,0,0,90,20,20,20,0,0,60,40,20,50,20,20,10,-13.588235
30,30,70,30,20,30,30,30,80,20,20,20,20,20,70,30,20,50,30,50,40,-17.796078
0,0,10,10,0,10,0,0,50,0,10,0,0,0,10,20,20,20,10,50,10,-18.784314
0,0,10,10,0,10,0,0,50,0,10,0,0,0,10,20,20,20,10,50,10,-18.941176
0,0,10,10,0,10,0,0,50,0,10,0,0,0,10,20,20,20,10,50,10,-18.941176
0,0,10,10,0,10,0,0,50,0,10,0,0,0,10,20,20,20,10,50,10,-18.72549
0,0,10,10,0,10,0,0,50,0,10,0,0,0,10,20,20,20,10,50,10,-18.784314
0,0,50,10,10,10,0,0,40,10,0,0,0,0,60,10,20,30,50,40,60,-26.941176
0,0,10,0,10,10,0,0,50,0,0,0,0,0,10,20,20,10,10,50,10,-20.941176
30,30,50,20,20,20,30,30,80,20,10,20,20,20,40,30,30,30,10,50,10,-20.623529
0,0,10,10,10,10,0,0,50,0,10,10,0,0,10,20,20,20,10,50,10,-23.941176
40,40,60,20,20,20,30,30,90,10,20,20,40,40,50,40,40,40,10,50,10,-23.580392
0,0,10,10,10,10,0,0,50,0,10,10,0,0,10,20,20,20,10,50,10,-23.941176
40,40,60,20,20,20,30,30,90,10,20,20,40,40,50,40,40,40,10,50,10,-23.580392
40,40,60,20,30,20,30,30,90,20,20,20,40,40,50,40,40,40,10,50,10,-24.568627
60,60,100,30,20,20,60,60,90,20,10,10,50,50,80,40,40,40,30,20,30,0.596078
0,0,40,0,0,0,0,0,10,0,0,0,0,0,60,0,0,0,40,10,50,-5.823529
0,0,40,10,20,10,0,0,50,10,10,0,0,0,50,20,10,40,30,50,40,-32.760784
20,20,40,20,20,10,10,10,70,20,10,20,20,20,30,30,30,30,10,50,10,-25.666667
40,40,60,20,30,20,40,40,100,20,20,20,30,30,40,30,30,30,10,50,10,-26.639216
20,20,40,20,20,20,10,10,70,20,20,20,20,20,30,30,30,30,10,50,10,-26.776471
40,40,80,10,10,10,40,40,100,0,10,10,20,20,70,10,20,30,30,50,40,-37.941176
60,60,80,10,10,10,50,50,70,10,10,10,40,40,80,10,10,10,20,10,30,-0.796078
50,50,70,30,30,30,40,40,100,30,30,30,70,70,80,60,60,50,10,50,10,-28.407843
40,40,80,10,10,10,40,40,100,0,10,0,20,20,70,20,10,30,30,50,40,-38.768627
40,40,90,20,20,20,40,40,60,10,10,20,30,30,70,30,30,30,40,10,30,0.564706
0,0,50,0,0,0,0,0,20,0,0,0,0,0,10,0,0,0,40,10,10,-5.572549
40,40,90,10,10,10,40,40,60,10,10,10,20,20,40,20,20,20,40,10,10,-11.784314
0,0,50,10,10,10,0,0,20,10,10,10,0,0,10,20,20,20,40,10,10,-11.941176
0,0,100,10,10,10,0,0,40,10,10,10,0,0,30,20,20,20,40,10,10,-11.941176
40,40,90,10,10,10,40,40,60,10,10,10,20,20,40,20,20,20,40,10,10,-11.784314
40,40,90,20,20,20,30,30,50,20,20,20,40,40,60,40,50,40,40,10,10,-11.72549
0,0,40,0,0,0,0,0,40,0,0,0,0,0,10,0,0,0,30,40,10,-5.776471
30,30,60,20,20,20,20,20,30,10,20,20,10,10,50,50,50,50,20,10,30,-21.733333
40,40,60,10,10,10,30,30,90,0,10,10,20,20,30,20,20,20,10,50,10,0.396078
60,60,90,30,30,30,60,60,90,20,10,20,30,30,80,30,30,40,20,20,40,0.572549
0,0,40,0,0,0,0,0,60,0,0,0,0,0,50,0,0,0,30,50,50,-5.807843
40,40,100,30,20,30,50,50,100,10,10,20,40,40,70,20,30,30,50,30,20,0.552941
40,40,70,10,10,10,40,40,70,10,0,0,20,20,70,10,10,30,20,20,40,-5.792157
0,0,10,10,10,10,0,0,60,10,0,10,0,0,10,10,10,10,10,50,10,-3.941176
0,0,10,10,10,10,0,0,60,10,0,10,0,0,10,10,10,10,10,50,10,-3.941176
40,40,60,30,20,30,40,40,100,20,10,10,20,20,30,30,30,30,10,50,10,-3.623529
0,0,40,0,0,0,0,0,50,0,0,0,0,0,50,0,0,0,30,40,50,-5.811765
40,40,70,10,10,10,20,20,80,10,0,0,20,20,70,20,20,20,20,40,40,0.439216
0,0,50,0,0,0,0,0,20,0,0,0,0,0,40,0,0,0,40,10,40,-5.65098
