@relation masterevaluation-weka.filters.unsupervised.instance.Resample-S1-Z100.0

@attribute problemtype {newApp,slaViolation,shortageOfPms,wasteOfResources}
@attribute resourcetype {pm,vm,app}
@attribute actiontype {ChangeVmConfiguration,DoNothing,CreateVmInsertApp,CreateAppInsertIntoVm,MoveVm,MoveApp,Outsource,TurnOffPmAndMoveVms}
@attribute estimationvalue numeric
@attribute predictionvalue numeric
@attribute evaluation numeric

@data
slaViolation,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
slaViolation,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
wasteOfResources,vm,DoNothing,0,6,0
wasteOfResources,vm,MoveVm,4,0,14.9
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-1.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
wasteOfResources,vm,MoveVm,4,0,1.9
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
wasteOfResources,vm,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
wasteOfResources,vm,ChangeVmConfiguration,1,16,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
slaViolation,app,DoNothing,0,30,2
newApp,app,DoNothing,0,0,0
wasteOfResources,pm,TurnOffPmAndMoveVms,0,0,6
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
slaViolation,app,ChangeVmConfiguration,1,0,2.975
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
slaViolation,app,CreateVmInsertApp,3,-461,-13.075
newApp,app,ChangeVmConfiguration,1,0,-0.025
wasteOfResources,vm,ChangeVmConfiguration,1,0,-3.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
wasteOfResources,vm,DoNothing,0,9,-3
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,1
newApp,app,ChangeVmConfiguration,1,0,-0.025
wasteOfResources,vm,ChangeVmConfiguration,1,19,-1.025
wasteOfResources,vm,MoveVm,4,0,14.9
newApp,app,ChangeVmConfiguration,1,0,-0.025
wasteOfResources,vm,MoveVm,4,0,5.9
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
wasteOfResources,vm,ChangeVmConfiguration,1,0,-2.025
newApp,app,ChangeVmConfiguration,1,0,-1.025
wasteOfResources,vm,DoNothing,0,0,-3
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
slaViolation,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
wasteOfResources,vm,ChangeVmConfiguration,1,19,-3.025
wasteOfResources,vm,DoNothing,0,0,-3
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
wasteOfResources,vm,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
wasteOfResources,vm,MoveVm,4,0,9.9
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
wasteOfResources,vm,DoNothing,0,0,3
newApp,app,ChangeVmConfiguration,1,0,-0.025
wasteOfResources,vm,DoNothing,0,0,-3
wasteOfResources,vm,DoNothing,0,6,0
slaViolation,app,ChangeVmConfiguration,1,0,-0.025
wasteOfResources,vm,MoveVm,4,0,-3.1
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
wasteOfResources,vm,DoNothing,0,9,3
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
wasteOfResources,vm,DoNothing,0,6,0
wasteOfResources,vm,ChangeVmConfiguration,1,0,2.975
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
wasteOfResources,vm,DoNothing,0,0,-3
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
wasteOfResources,vm,MoveVm,4,0,7.9
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
slaViolation,app,DoNothing,0,30,-2
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
wasteOfResources,vm,ChangeVmConfiguration,1,22,-3.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,0.975
slaViolation,app,ChangeVmConfiguration,1,0,1.975
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
wasteOfResources,vm,ChangeVmConfiguration,1,16,0.975
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
wasteOfResources,vm,ChangeVmConfiguration,1,19,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
wasteOfResources,vm,ChangeVmConfiguration,1,16,-0.025
newApp,app,ChangeVmConfiguration,1,0,-0.025
wasteOfResources,vm,MoveVm,4,0,-5.1
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
wasteOfResources,vm,DoNothing,0,0,-3
newApp,app,DoNothing,0,0,0
slaViolation,app,ChangeVmConfiguration,1,0,-3.025
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
wasteOfResources,vm,DoNothing,0,12,-4
wasteOfResources,vm,ChangeVmConfiguration,1,22,-0.025
newApp,app,DoNothing,0,0,0
wasteOfResources,pm,TurnOffPmAndMoveVms,0,0,-1
wasteOfResources,vm,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,DoNothing,0,0,0
wasteOfResources,vm,MoveVm,4,0,4.9
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
newApp,app,DoNothing,0,0,0
newApp,app,ChangeVmConfiguration,1,0,-0.025
wasteOfResources,vm,DoNothing,0,0,-3
newApp,app,ChangeVmConfiguration,1,0,-0.025
slaViolation,app,CreateVmInsertApp,20,-836,-8.5
wasteOfResources,vm,DoNothing,0,0,-3
newApp,app,DoNothing,0,0,0
