@relation MoveVm-weka.filters.unsupervised.instance.Resample-S1-Z100.0

@attribute CPU8 numeric
@attribute CPU9 numeric
@attribute CPU10 numeric
@attribute MEM8 numeric
@attribute MEM9 numeric
@attribute MEM10 numeric
@attribute STOR8 numeric
@attribute STOR9 numeric
@attribute STOR10 numeric
@attribute PMCPU8 numeric
@attribute PMCPU9 numeric
@attribute PMCPU10 numeric
@attribute PMMEM8 numeric
@attribute PMMEM9 numeric
@attribute PMMEM10 numeric
@attribute PMSTOR8 numeric
@attribute PMSTOR9 numeric
@attribute PMSTOR10 numeric
@attribute EVAL numeric

@data
10,10,10,10,10,10,0,0,0,90,90,90,70,70,70,80,80,80,0.286275
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,60,60,60,0.082353
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
20,20,20,10,10,10,20,20,20,90,90,90,90,90,90,70,70,70,0.329412
10,10,10,10,10,10,0,0,0,30,30,30,30,30,30,10,10,10,0.011765
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,50,50,50,0.101961
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.107843
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,20,20,20,0.011765
30,30,30,20,20,20,20,20,20,90,90,90,80,80,80,60,60,60,0.168627
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.105882
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,60,60,60,0.12549
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,50,50,50,0.233333
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,70,70,70,0.113725
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,60,60,60,0.090196
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,60,60,60,50,50,50,0.143137
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,60,60,60,0.098039
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,60,60,60,90,90,90,40,40,40,0.103922
10,10,10,10,10,10,0,0,0,80,80,80,60,60,60,50,50,50,0.101961
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,80,80,80,80,80,80,60,60,60,0.160784
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,50,50,50,0.109804
10,10,10,10,10,10,0,0,0,60,60,60,60,60,60,30,30,30,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,50,50,50,0.101961
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.109804
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,60,60,60,0.109804
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.111765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,60,60,60,0.201961
10,10,10,10,10,10,0,0,0,40,40,40,40,40,40,20,20,20,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,50,50,50,0.113725
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,80,80,80,0.239216
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.098039
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.186275
10,10,10,10,10,10,0,0,0,30,30,30,30,30,30,10,10,10,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.258824
10,10,10,10,10,10,0,0,0,70,70,70,70,70,70,40,40,40,0.011765
10,10,10,10,10,10,0,0,0,90,90,90,90,90,90,50,50,50,0.011765
30,30,30,20,20,20,20,20,20,40,70,70,40,60,60,30,80,90,0.24902
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,60,60,60,0.211765
10,10,10,10,10,10,0,0,0,90,90,90,80,80,80,50,50,50,0.115686
